cp,ko,en,fr,es
🔂,한 곡 반복 재생,repeat single button,bouton répétition de la piste,repetir una vez
▶,재생 버튼,play button,bouton lecture,reproducir
⏩,빨리 감기,fast-forward button,bouton avance rapide,avance rápido
⏭,다음 트랙 버튼,next track button,bouton piste suivante,pista siguiente
⏯,재생 또는 일시 정지 버튼,play or pause button,bouton lecture/pause,reproducir o pausa
◀,반대로 버튼,reverse button,bouton retour,retroceso
⏪,되감기,fast reverse button,bouton retour rapide,rebobinado
⏮,마지막 트랙 버튼,last track button,bouton piste précédente,pista anterior
🔼,위쪽 삼각형,upwards button,petit triangle haut,triángulo hacia arriba
⏫,위쪽 화살표,fast up button,double flèche vers le haut,triángulo doble hacia arriba
🔽,아래쪽 삼각형,downwards button,petit triangle bas,triángulo hacia abajo
⏬,아래쪽 화살표,fast down button,double flèche vers le bas,triángulo doble hacia abajo
⏸,일시 정지 버튼,pause button,bouton pause,pausa
⏹,정지 버튼,stop button,bouton stop,detener
⏺,녹음 버튼,record button,bouton enregistrer,grabar
⏏,꺼냄 버튼,eject button,bouton éjecter,expulsar
🎦,영화,cinema,cinéma,cine
🔅,밝기 낮음,dim button,luminosité faible,brillo bajo
🔆,밝기 높음,bright button,luminosité élevée,brillo alto
📶,안테나 신호,antenna bars,barres de réseau,barras de cobertura
📳,진동 모드,vibration mode,mode vibreur,modo vibración
📴,휴대전화 끄기,mobile phone off,téléphone éteint,teléfono móvil apagado
♀,여성 기호,female sign,symbole de la femme,signo femenino
♂,남성 기호,male sign,symbole de l’homme,signo masculino
⚕,의학 기호,medical symbol,caducée,símbolo de medicina
♾,무한,infinity,infini,infinito
♻,재활용 표시,recycling symbol,symbole Recyclage,símbolo de reciclaje
⚜,백합 문장,fleur-de-lis,fleur de lys,flor de lis
🔱,삼지창,trident emblem,trident,emblema de tridente
📛,이름표,name badge,badge nominatif,etiqueta identificativa
🔰,노란색 초록색 이파리 모양,Japanese symbol for beginner,symbole japonais de débutant,símbolo japonés para principiante
⭕,크고 진한 동그라미,hollow red circle,cercle rouge,círculo rojo hueco
✅,체크 표시,check mark button,bouton coché,botón de marca de verificación
☑,체크박스,check box with check,case cochée,casilla con marca de verificación
✔,진한 체크 표시,check mark,coche,marca de verificación
✖,곱하기,multiply,signe multiplier,multiplicación
❌,엑스 표시,cross mark,croix,marca de cruz
❎,초록 상자 안 엑스표,cross mark button,bouton croix,botón con marca de cruz
➕,더하기,plus,signe plus,más
➖,빼기,minus,signe moins,menos
➗,나누기,divide,signe diviser,división
➰,고리,curly loop,boucle,bucle
➿,두 개의 고리,double curly loop,double boucle,bucle doble
〽,부분 교체 기호,part alternation mark,alternance,marca de alternancia
✳,여덟 갈래 별표,eight-spoked asterisk,astérisque huit branches,asterisco de ocho puntas
✴,팔각 별,eight-pointed star,étoile huit branches,estrella de ocho puntas
❇,반짝임,sparkle,éclat,chispa
‼,두 개의 느낌표,double exclamation mark,double point d’exclamation,exclamación doble
⁉,느낌표와 물음표,exclamation question mark,points d’exclamation et d’interrogation,exclamación e interrogación
❓,물음표,question mark,point d’interrogation,signo de interrogación
❔,하얀색 물음표,white question mark,point d’interrogation blanc,interrogación blanca
❕,하얀색 느낌표,white exclamation mark,point d’exclamation blanc,exclamación blanca
❗,느낌표,exclamation mark,point d’exclamation,signo de exclamación
〰,물결표,wavy dash,ligne ondulée,guion ondulado
©,저작권,copyright,symbole copyright,copyright
®,등록상표,registered,marque déposée,marca registrada
™,상표,trade mark,marque commerciale déposée,símbolo de marca comercial
🔠,대문자,input latin uppercase,majuscules,letras latinas mayúsculas
🔡,소문자,input latin lowercase,minuscules,letras latinas minúsculas
🔢,숫자,input numbers,saisie de chiffres,números
🔣,기호,input symbols,saisie de symboles,símbolos
🔤,라틴어 알파벳,input latin letters,alphabet latin,alfabeto latino
🅰,에이형,A button (blood type),groupe sanguin A,grupo sanguíneo A
🆎,에이비형,AB button (blood type),groupe sanguin AB,grupo sanguíneo AB
🅱,비형,B button (blood type),groupe sanguin B,grupo sanguíneo B
🆑,씨엘,CL button,bouton Effacer,borrar
🆒,쿨,COOL button,bouton Cool,botón COOL
🆓,프리,FREE button,bouton Gratuit,botón FREE
ℹ,정보 출처,information,source d’informations,información
🆔,아이디,ID button,bouton Identifiant,símbolo de identificación
Ⓜ,원글자 엠,circled M,m encerclé,m en círculo
🆕,뉴,NEW button,bouton Nouveau,botón NEW
🆖,엔지,NG button,bouton Pas bien,botón NG
🅾,오형,O button (blood type),groupe sanguin O,grupo sanguíneo tipo O
🆗,오케이,OK button,bouton OK,botón OK
🅿,주차 표시,P button,bouton P,aparcamiento
🆘,에스오에스,SOS button,bouton SOS,símbolo de socorro
🆙,위로 버튼,UP! button,bouton Vers le haut,botón UP!
🆚,대,VS button,bouton VS,botón VS
🈁,"일본어 ""여기"" 버튼",Japanese “here” button,bouton ici en japonais,"ideograma japonés para ""aquí"""
🈂,"일본어 ""봉사료"" 버튼",Japanese “service charge” button,bouton frais de service en japonais,"ideograma japonés para ""de cortesía"""
🈷,달 월,Japanese “monthly amount” button,bouton montant mensuel en japonais,"ideograma japonés para ""cantidad mensual"""
🈶,있을 유,Japanese “not free of charge” button,bouton pas gratuit en japonais,"ideograma japonés para ""de pago"""
🈯,가리킬 지,Japanese “reserved” button,bouton réservé en japonais,"ideograma japonés para ""reservado"""
🉐,얻을 득,Japanese “bargain” button,bouton bonne affaire en japonais,"ideograma japonés para ""ganga"""
🈹,나눌 할,Japanese “discount” button,bouton réduction en japonais,"ideograma japonés para ""descuento"""
🈚,없을 무,Japanese “free of charge” button,bouton gratuit en japonais,"ideograma japonés para ""gratis"""
🈲,금할 금,Japanese “prohibited” button,bouton interdit en japonais,"ideograma japonés para ""prohibido"""
🉑,옳을 가,Japanese “acceptable” button,bouton accepter en japonais,"ideograma japonés para ""aceptable"""
🈸,거듭 신,Japanese “application” button,bouton application en japonais,"ideograma japonés para ""aplicación"""
🈴,합할 합,Japanese “passing grade” button,bouton note pour réussir en japonais,"ideograma japonés para ""aprobado"""
🈳,빌 공,Japanese “vacancy” button,bouton chambres disponibles en japonais,"ideograma japonés para ""vacante"""
㊗,원 안의 축하 표의문자,Japanese “congratulations” button,bouton félicitations en japonais,"ideograma japonés para ""enhorabuena"""
㊙,원 표시된 비밀 표의문자,Japanese “secret” button,bouton secret en japonais,"ideograma japonés para ""secreto"""
🈺,벼슬 관,Japanese “open for business” button,bouton ouvert pour affaires en japonais,"ideograma japonés para ""abierto"""
🈵,찰 만,Japanese “no vacancy” button,bouton complet en japonais,"ideograma japonés para ""completo"""
🔴,빨간 원,red circle,disque rouge,círculo rojo grande
🟠,오렌지색 원,orange circle,disque orange,círculo naranja
🟡,노란색 원,yellow circle,disque jaune,círculo amarillo
🟢,녹색 원,green circle,disque vert,círculo verde
🔵,파란 원,blue circle,disque bleu,círculo azul grande
🟣,보라색 원,purple circle,disque violet,círculo morado
🟤,갈색 원,brown circle,disque marron,círculo marrón
⚫,검은색 원,black circle,disque noir,círculo negro
⚪,흰색 원,white circle,disque blanc,círculo blanco
🟥,빨간색 사각형,red square,carré rouge,cuadrado rojo
🟧,오렌지색 사각형,orange square,carré orange,cuadrado naranja
🟨,노란색 사각형,yellow square,carré jaune,cuadrado amarillo
🟩,녹색 사각형,green square,carré vert,cuadrado verde
🟦,파란색 사각형,blue square,carré bleu,cuadrado azul
🟪,보라색 사각형,purple square,carré violet,cuadrado morado
🟫,갈색 사각형,brown square,carré marron,cuadrado marrón
⬛,큰 검은색 사각형,black large square,grand carré noir,cuadrado negro grande
⬜,큰 흰색 사각형,white large square,grand carré blanc,cuadrado blanco grande
◼,중간 검은색 사각형,black medium square,carré moyen noir,cuadrado negro mediano
◻,중간 흰색 사각형,white medium square,carré moyen blanc,cuadrado blanco mediano
◾,중각 작은 검은색 사각형,black medium-small square,carré petit moyen noir,cuadrado negro mediano-pequeño
◽,중간 작은 흰색 사각형,white medium-small square,carré petit moyen blanc,cuadrado blanco mediano-pequeño
▪,작은 검은색 사각형,black small square,petit carré noir,cuadrado negro pequeño
▫,작은 흰색 사각형,white small square,petit carré blanc,cuadrado blanco pequeño
🔶,큰 주황색 마름모,large orange diamond,grand losange orange,rombo naranja grande
🔷,큰 파란색 마름모,large blue diamond,grand losange bleu,rombo azul grande
🔸,작은 주황색 마름모,small orange diamond,petit losange orange,rombo naranja pequeño
🔹,작은 파란색 마름모,small blue diamond,petit losange bleu,rombo azul pequeño
🔺,빨간색 위쪽 삼각형,red triangle pointed up,triangle rouge pointant vers le haut,triángulo rojo hacia arriba
🔻,빨간색 아래쪽 삼각형,red triangle pointed down,triangle rouge pointant vers le bas,triángulo rojo hacia abajo
💠,점이 찍힌 다이아몬드 모양,diamond with a dot,diamant avec un point,rombo con pétalo
🔘,라디오 버튼,radio button,bouton radio,botón de opción
🔳,테두리가 하얀 사각 버튼,white square button,carré blanc,botón cuadrado con borde blanco
🔲,테두리가 검은 사각 버튼,black square button,carré noir,botón cuadrado con borde negro
🏁,격자 무늬 깃발,chequered flag,drapeau à damier,bandera de cuadros
🚩,세모 깃발,triangular flag,drapeau triangulaire,bandera triangular
🎌,엇갈린 일본 국기,crossed flags,drapeaux croisés,banderas cruzadas
🏴,펄럭이는 검은색 깃발,black flag,drapeau noir,bandera negra
🏳,펄럭이는 흰색 깃발,white flag,drapeau blanc,bandera blanca
🏳‍⚧,트랜스젠더 깃발,transgender flag,drapeau transgenre,bandera transgénero
🏳‍🌈,무지개 깃발,rainbow flag,drapeau arc-en-ciel,bandera del arcoíris
🏴‍☠,해적 깃발,pirate flag,drapeau de pirate,bandera pirata
